Hecate:ProjectEuler fwu$ python euler0044.py
265651 88550 88551 0 421
266915 44485 44487 1 422
266915 17792 17797 4 422
266915 8083 8094 10 422
266915 3857 3880 22 422
266915 754 864 109 422
266915 272 502 229 422
269452 89817 89818 0 424
269452 2882 2913 30 424
269452 110 438 327 424
270725 45120 45122 1 425
270725 18046 18051 4 425
270725 6439 6453 13 425
270725 5300 5317 16 425
270725 3458 3484 25 425
270725 2561 2596 34 425
270725 1780 1830 49 425
270725 1356 1421 64 425
270725 872 970 97 425
270725 699 818 118 425
270725 446 616 169 425
270725 405 587 181 425
270725 298 519 220 425
270725 246 491 244 425
270725 83 433 349 425
272001 30221 30224 2 426
273280 91093 91094 0 427
273280 13010 13017 6 427
273280 1463 1524 60 427
273280 228 484 255 427
274562 802 909 106 428
275847 15322 15328 5 429
275847 2770 2803 32 429
275847 1140 1218 77 429
277135 92378 92379 0 430
277135 9233 9243 9 430
277135 2127 2170 42 430
278426 5451 5468 16 431
278426 1331 1399 67 431
278426 126 449 322 431
279720 3440 3467 26 432
279720 399 588 188 432
281017 93672 93673 0 433
281017 4247 4269 21 433
281017 735 853 117 433
